iter	RMSE
0	290380473.3
1	289404609.4
2	287961482.5
3	286863695
4	285799697.1
5	284821305.5
6	283708822.3
7	282662684.5
8	281707923.2
9	280815579.7
10	280170661.3
11	279255566.6
12	278673779.3
13	278248506.1
14	277552656
15	277157456.2
16	276447249.8
17	275746354.6
18	275361015.7
19	274732877.9
20	274412878
21	273888043.6
22	273637458.4
23	273359167.3
24	272868409.3
25	272667789.9
26	272195313.5
27	271683580
28	271149935.9
29	271010452.5
30	270440230.7
31	270270727.6
32	269911697.6
33	269404933.8
34	269186647.1
35	269092813.1
36	268795449.7
37	268285806.3
38	268209486.4
39	267935439.9
40	267569228.3
41	267226135
42	266936043.9
43	266720274.1
44	266355024.4
45	266207385.4
46	265753234.4
47	265328824
48	264986244.5
49	264564360.7
50	264162368.1
51	263919414
52	263540094.4
53	263397280.1
54	263161595.9
55	262825096.9
56	262598690.4
57	262385628.8
58	262265525.1
59	262146791.1
60	261791265.3
61	261537134.5
62	261225555.4
63	261027039.3
64	260884855.4
65	260664447.6
66	260487943.7
67	260189258
68	259991888.5
69	259805522.5
70	259640125
71	259332204.4
72	259246593.9
73	258961642.3
74	258804888.2
75	258645195.2
76	258507127.1
77	258474068.7
78	258383177.7
79	258215838.9
80	258155624.1
81	258134727.9
82	257974503.4
83	257692794.4
84	257651789.3
85	257407640.8
86	257137273.2
87	256991365.1
88	256747766.2
89	256494747.7
90	256254439.9
91	256123381.7
92	255995434.4
93	255865455.3
94	255667963.1
95	255584298.1
96	255476009.3
97	255287947.1
98	255220545.2
99	255113405.3
100	254900237.2
101	254787486.3
102	254549787.1
103	254454964.9
104	254291227.5
105	254170285.8
106	254068679.7
107	254005953.8
108	253896901.4
109	253818276.9
110	253610962.9
111	253518881.9
112	253431221.6
113	253345394.2
114	253254855.8
115	253115450.6
116	253060650.4
117	252988588.2
118	252797913.6
119	252713403.1
120	252556938.4
121	252471681.7
122	252455648.5
123	252330365.8
124	252264439.1
125	252161315.6
126	252010104.7
127	251855447.8
128	251739940.1
129	251654956.7
130	251570649.7
131	251511252.6
132	251458408.4
133	251353983.3
134	251293173.3
135	251265441.8
136	251198788.3
137	251032957
138	250941364.9
139	250879141
140	250718870.2
141	250655184.8
142	250521846.6
143	250350742.6
144	250269459
145	250154309.2
146	250052097
147	249941913.3
148	249815429.8
149	249678217.4
150	249548409.7
151	249490677.9
152	249384564.3
153	249292995.3
154	249206824.1
155	249109273.9
156	249025670.2
157	248947294.4
158	248853272.1
159	248719239.2
160	248608815.2
161	248550552.5
162	248417003
163	248288497.3
164	248113851.9
165	248024108.3
166	247904356.4
167	247860009.5
168	247741845.3
169	247571997
170	247534133.2
171	247431646.3
172	247324538.3
173	247199097.1
174	247149840.7
175	247044598.3
176	246941116.8
177	246919652
178	246836679.8
179	246790534.5
180	246743309.7
181	246643923.6
182	246548271.4
183	246525020.3
184	246437073.3
185	246390963.4
186	246291457
187	246197268.7
188	246093897.1
189	245991661
190	245964026.6
191	245878464.5
192	245794349.9
193	245711181
194	245657594.6
195	245552877.6
196	245485763.2
197	245387397
198	245338242.2
199	245254836.2
200	245166175.3
201	245087704.6
202	245017821
203	244947108.1
204	244854446.5
205	244773532
206	244703294.3
207	244637738.3
208	244575514.1
209	244523962.8
210	244470934
211	244408158.8
212	244324742.4
213	244202374.4
214	244127170.2
215	244066951.3
216	244009403.7
217	243963821.4
218	243897306.9
219	243716985
220	243663894.6
221	243596813.7
222	243502557.1
223	243427563.5
224	243375482.8
225	243343076.8
226	243293432.8
227	243202589.6
228	243113935.2
229	243066994.2
230	242977069.6
231	242866505.5
232	242772656
233	242671287.6
234	242553981.3
235	242507214.5
236	242398165.1
237	242353889
238	242327361.9
239	242275806.5
240	242233222
241	242195865.6
242	242108177.3
243	242066862.1
244	241911193.5
245	241830268.6
246	241722469.8
247	241649192.4
248	241540020.9
249	241436945.8
250	241358842.6
251	241319281.9
252	241242751.5
253	241144322.1
254	241097444.1
255	240999812.9
256	240896020.2
257	240820497.4
258	240704697.7
259	240584473
260	240539527.7
261	240502790.7
262	240410929.2
263	240339408.6
264	240303023.1
265	240209307
266	240192763.8
267	240095682.7
268	240068199.3
269	239976693.6
270	239895461.8
271	239855566
272	239766378.4
273	239687246
274	239618963.7
275	239505451.1
276	239415307.5
277	239332020.2
278	239248232.8
279	239230603.7
280	239143563.1
281	239127051.6
282	239063982.9
283	238984024.5
284	238918041.6
285	238855235
286	238812727.1
287	238752671.6
288	238714709.1
289	238539960.5
290	238376830.2
291	238339468.4
292	238282002.6
293	238245913.6
294	238213742.9
295	238125785.3
296	237965037.8
297	237933780.2
298	237869031.2
299	237799478
300	237744739.4
301	237672348.2
302	237593609.7
303	237556936.5
304	237487627
305	237458836.9
306	237399025.8
307	237320016.9
308	237263372.9
309	237248115.9
310	237220318.8
311	237193297.1
312	237167043.2
313	237093104.9
314	237038295.3
315	237013185.5
316	236988689
317	236958448.3
318	236897490.5
319	236815572.4
320	236797690
321	236700633.5
322	236649170.6
323	236597806.8
324	236547357.6
325	236417081.5
326	236389437
327	236330563.4
328	236307161.7
329	236165128.8
330	236131115.5
331	236081558.8
332	236071242.6
333	236000795.6
334	235991479.1
335	235964664.1
336	235929719.5
337	235907835.2
338	235843880.5
339	235786378.8
340	235739191.8
341	235729638.5
342	235683768.6
343	235546748.6
344	235537519.5
345	235459308.3
346	235415211.5
347	235326097
348	235300892.2
349	235215481
350	235169862.4
351	235048419.3
352	235003821.7
353	234961977.2
354	234914295.6
355	234787530.4
356	234757017.7
357	234722761.6
358	234711420.2
359	234659876.2
360	234605452.8
361	234585468.8
362	234500954.2
363	234309024
364	234281100.6
365	234267037
366	234200519.3
367	234181758.5
368	234163012.4
369	234154631.7
370	234122384.3
371	234110269.3
372	234078330.1
373	234070552.7
374	234042182.9
375	233959103.7
376	233941402.5
377	233914339.7
378	233897136.3
379	233806066.7
380	233762605.3
381	233736971.6
382	233690028.8
383	233639282.2
384	233590429.8
385	233573719.4
386	233262955.5
387	233146268
388	233063543.5
389	233011086.9
390	232956580.7
391	232780576.5
392	232734047.5
393	232726775.6
394	232702723.4
395	232675197.5
396	232650303.3
397	232573253.3
398	232566312.5
399	232519731.5
400	232456856.3
401	232358194.3
402	232340515.1
403	232323625.2
404	232303967.1
405	232227959.1
406	232182905.3
407	232135471.3
408	232056732.5
409	231999488.6
410	231958884.1
411	231935521.4
412	231874700.3
413	231831232.4
414	231819661.2
415	231799639.6
416	231785353.6
417	231763891.3
418	231757799.3
419	231715209.2
420	231672959.9
421	231637653.7
422	231597846.2
423	231555743.1
424	231535256.3
425	231478546.7
426	231352321.2
427	231252177
428	231233163.6
429	231193887.8
430	230922745.3
431	230904807.1
432	230884111
433	230865860.5
434	230822296.1
435	230796002.8
436	230757399.7
437	230720577.1
438	230702229.9
439	230685871.7
440	230522531.1
441	230503156
442	230465423.8
443	230428692.4
444	230409387.9
445	230374906.1
446	230355166.3
447	230323110.1
448	230306156.5
449	230283038.8
450	230264361.6
451	230221248.4
452	230191478.3
453	230116391.8
454	230017910.2
455	229984484.3
456	229974181.7
457	229941445.8
458	229889237.6
459	229846718.3
460	229819326.7
461	229779282.7
462	229762703.9
463	229748712.1
464	229705352.5
465	229497523.9
466	229484047.4
467	229473488.4
468	229433380
469	229273912.8
470	229202889.3
471	228924633.1
472	228874971
473	228846756.2
474	228777128.3
475	228735115
476	228669836.5
477	228637288.5
478	228491095
479	228461857.5
480	228452676.5
481	228419006.3
482	228278722
483	228228185.2
484	228179380.3
485	228056565.9
486	227994753.8
487	227967373.2
488	227851191.3
489	227762701.6
490	227702115.4
491	227692545.7
492	227666763.5
493	227605748.3
494	227599978.2
495	227568239.4
496	227483412.4
497	227465190.6
498	227455002.2
499	227418922.9
500	227276596.7
501	227219584.6
502	227202816.1
503	227150204.9
504	227093552.9
505	226956539.8
506	226934147.6
507	226918814.1
508	226883497.5
509	226645306.1
510	226586537.4
511	226449821.1
512	226318826.9
513	226241359.4
514	226211598.2
515	226188466
516	226174284.1
517	226118982.7
518	226042245.5
519	226006210.1
520	225973430.6
521	225957867.1
522	225911527.2
523	225876847.4
524	225843762.5
525	225813474.6
526	225746113
527	225577498.8
528	225449093.2
529	225404330.7
530	225341341.1
531	225285208.8
532	225241883.2
533	225199971.2
534	225112634
535	225106979.1
536	225092195.2
537	225064568.3
538	225045962
539	225011581.4
540	224887330.7
541	224791430.6
542	224671426.5
543	224557472
544	224528801.4
545	224484503.4
546	224416849.8
547	224404119.3
548	224372053.2
549	224341311.8
550	224180118
551	224149896.5
552	224110289.7
553	224069922.6
554	223981658.3
555	223950302
556	223919189.2
557	223890434.6
558	223784428.2
559	223770878.3
560	223743303.6
561	223704356.5
562	223623141
563	223596365.9
564	223545615.4
565	223518311.8
566	223482133.2
567	223455823
568	223409562.6
569	223259352.6
570	223223223.9
571	223203994.9
572	223187551
573	223115119.9
574	223101360.2
575	223083386.3
576	223055193.4
577	222826945.2
578	222810240
579	222731366.7
580	222662408.6
581	222610370.8
582	222585440.3
583	222569710.4
584	222547113.5
585	222485291.1
586	222350663.8
587	222341910.5
588	222330665.1
589	222287429.1
590	222209203
591	222184754.2
592	222116801.9
593	222070025.6
594	222040735.4
595	222028079.6
596	221969261.7
597	221957391.2
598	221944710.7
599	221929694.8
600	221906174.7
601	221659496.1
602	221498549.4
603	221475954.1
604	221445470.5
605	221433802.7
606	221398592.1
607	221276691.1
608	221249428.5
609	221183698.1
610	221140457.6
611	221099107.6
612	221055438.9
613	220985725.9
614	220964178.9
615	220920240.6
616	220863779.6
617	220851445
618	220840339.3
619	220736435.3
620	220724820.6
621	220685083.3
622	220664691.7
623	220610688.6
624	220578883.2
625	220543205.5
626	220448805.8
627	220399291.8
628	220327892.8
629	220317582.5
630	220306071.5
631	220271840
632	220252301
633	220218988.6
634	220212131
635	220201349.1
636	220180545.2
637	220144842.6
638	220103652.5
639	220083714.8
640	220054936
641	219915289.3
642	219901255.9
643	219877246.7
644	219800983.1
645	219757859.7
646	219745571.1
647	219706666.6
648	219642955
649	219576251.6
650	219565083.2
651	219525552.6
652	219463075
653	219401631.3
654	219372484.4
655	219280189.6
656	219186828.3
657	219181203.4
658	219174994.1
659	219018974.2
660	219000296.8
661	218981328.9
662	218879046.3
663	218803550.1
664	218766904.1
665	218755491
666	218700122.4
667	218641807.3
668	218619042.8
669	218562637.1
670	218472035.6
671	218449176.5
672	218400948.5
673	218380971.2
674	218296793.2
675	218251960.6
676	218236772.5
677	218212175
678	218194219.4
679	218107750.6
680	218073300.3
681	217990485.5
682	217981785.3
683	217943836.7
684	217923920
685	217869005.9
686	217800689.1
687	217795403.9
688	217743209.1
689	217735984.4
690	217686152.7
691	217633148.4
692	217618988.8
693	217560100.3
694	217558665.4
695	217510818.5
696	217362255.5
697	217331461.8
698	217301719.1
699	217299614.5
700	217297726.7
701	217295960.2
702	217278796.6
703	217262278.4
704	217250177.1
705	217210332
706	217209427.3
707	217180715.9
708	217140448.5
709	217129921.3
710	217080635.2
711	217019455.8
712	217011271.9
713	217009451.8
714	217007736.3
715	217006568
716	216963148.1
717	216952071.4
718	216903552.6
719	216894367.4
720	216866846.2
721	216857397.8
722	216637662.1
723	216606984.9
724	216587750.1
725	216543819.6
726	216393342.5
727	216342175.3
728	216289756.5
729	216288148.9
730	216287402.1
731	216286368.3
732	216263327.7
733	216209293.4
734	216195634.4
735	216173883.8
736	216138264.5
737	216087598.1
738	216058848.4
739	216007532
740	215992497.2
741	215967384.8
742	215947196.2
743	215918050.7
744	215916684.8
745	215915843.1
746	215894283.8
747	215851927.1
748	215829347.6
749	215802776.7
750	215788425.4
751	215787089.6
752	215785815.7
753	215747987.4
754	215724550.1
755	215689874.1
756	215627207.4
757	215614953.7
758	215594631
759	215593915.8
760	215593527
761	215581535.4
762	215559133.8
763	215541369.7
764	215540176.5
765	215508342.6
766	215496097.8
767	215451576.8
768	215450914.7
769	215428564.5
770	215387309.1
771	215365868.1
772	215357295.4
773	215324853.7
774	215324343.8
775	215203976.4
776	215175130.5
777	215098496.6
778	215097896
779	215064578.9
780	214991266
781	214950841.1
782	214653378.3
