iter	Passed	Remaining
0	2	2903
1	5	2708
2	8	2818
3	11	2824
4	15	3028
5	17	2826
6	20	2882
7	25	3114
8	32	3560
9	35	3489
10	37	3331
11	45	3756
12	51	3904
13	56	3949
14	59	3909
15	63	3876
16	70	4056
17	76	4166
18	82	4234
19	86	4237
20	89	4194
21	101	4526
22	103	4405
23	110	4498
24	117	4582
25	123	4618
26	132	4780
27	137	4763
28	146	4899
29	151	4886
30	158	4953
31	164	4989
32	172	5056
33	175	4999
34	180	4980
35	181	4867
36	186	4848
37	189	4808
38	193	4768
39	198	4774
40	203	4758
41	209	4783
42	211	4708
43	217	4722
44	220	4686
45	225	4678
46	230	4672
47	234	4643
48	238	4622
49	240	4564
50	241	4501
51	247	4507
52	253	4528
53	257	4508
54	264	4546
55	267	4508
56	274	4539
57	278	4524
58	283	4524
59	287	4499
60	289	4462
61	291	4416
62	295	4400
63	299	4384
64	307	4416
65	312	4423
66	315	4392
67	319	4383
68	324	4380
69	330	4392
70	332	4355
71	336	4332
72	342	4344
73	344	4314
74	347	4288
75	351	4278
76	359	4304
77	363	4298
78	370	4317
79	375	4315
80	380	4319
81	381	4275
82	386	4265
83	391	4264
84	400	4312
85	403	4286
86	407	4280
87	412	4276
88	422	4322
89	425	4299
90	431	4309
91	435	4293
92	438	4275
93	442	4263
94	448	4269
95	453	4270
96	458	4271
97	460	4241
98	463	4219
99	469	4225
100	475	4230
101	478	4214
102	485	4225
103	488	4208
104	496	4235
105	503	4244
106	509	4249
107	512	4229
108	513	4199
109	523	4235
110	528	4230
111	532	4224
112	539	4237
113	542	4217
114	547	4211
115	550	4195
116	557	4208
117	561	4195
118	566	4191
119	570	4184
120	573	4164
121	576	4148
122	584	4167
123	586	4146
124	588	4116
125	591	4104
126	597	4104
127	600	4091
128	604	4081
129	609	4078
130	611	4053
131	612	4029
132	618	4031
133	623	4026
134	625	4005
135	631	4010
136	634	3994
137	640	4000
138	643	3986
139	649	3989
140	651	3967
141	657	3969
142	665	3989
143	670	3985
144	673	3972
145	677	3961
146	685	3979
147	692	3987
148	697	3981
149	701	3973
150	707	3977
151	711	3970
152	717	3972
153	723	3976
154	726	3960
155	728	3941
156	732	3932
157	739	3939
158	744	3938
159	747	3922
160	749	3905
161	752	3894
162	755	3877
163	761	3880
164	768	3886
165	774	3892
166	777	3879
167	780	3866
168	784	3858
169	787	3842
170	792	3840
171	797	3840
172	805	3852
173	809	3840
174	810	3821
175	814	3814
176	819	3809
177	821	3793
178	826	3789
179	830	3783
180	833	3770
181	835	3756
182	839	3747
183	841	3732
184	844	3720
